Aspect,Polarity,Summary,lat,lng,name,business_status,address,types,user_ratings_total,#charging_stations,text,avg_rating
price and cost,Negative,Cost are very high],42.44542999999999,-83.11789,EVgo Charging Station,OPERATIONAL,"1205 Eight Mile Rd, Detroit, MI 48203, USA","point_of_interest, establishment",1,1,Not a fast charging station. Cost are very high. Additional fees and tax added to total cost.,2.0
price and cost,Negative,Additional fees and tax added to total cost],42.44542999999999,-83.11789,EVgo Charging Station,OPERATIONAL,"1205 Eight Mile Rd, Detroit, MI 48203, USA","point_of_interest, establishment",1,1,Not a fast charging station. Cost are very high. Additional fees and tax added to total cost.,2.0
amenities and location,Positive,Great location],42.45534199999999,-83.376177,ChargePoint Charging Station,OPERATIONAL,"22145 Farmington Rd, Farmington, MI 48336, USA","point_of_interest, establishment",8,5,"Great location, no technical issues, 125kW was plenty of speed to top me off.Felt safe while getting my 2.5 hr chargeFlawless. ChargePointe is becoming my go to app to find EV chargers in the wild.Green living c+⚡Don't go here 50 cents a minute added 30 miles for $11",4.2
reliability and maintenance,Positive,no technical issues],42.45534199999999,-83.376177,ChargePoint Charging Station,OPERATIONAL,"22145 Farmington Rd, Farmington, MI 48336, USA","point_of_interest, establishment",8,5,"Great location, no technical issues, 125kW was plenty of speed to top me off.Felt safe while getting my 2.5 hr chargeFlawless. ChargePointe is becoming my go to app to find EV chargers in the wild.Green living c+⚡Don't go here 50 cents a minute added 30 miles for $11",4.2
charging speed and efficiency,Positive,125kW was plenty of speed],42.45534199999999,-83.376177,ChargePoint Charging Station,OPERATIONAL,"22145 Farmington Rd, Farmington, MI 48336, USA","point_of_interest, establishment",8,5,"Great location, no technical issues, 125kW was plenty of speed to top me off.Felt safe while getting my 2.5 hr chargeFlawless. ChargePointe is becoming my go to app to find EV chargers in the wild.Green living c+⚡Don't go here 50 cents a minute added 30 miles for $11",4.2
safety,Positive,Felt safe],42.45534199999999,-83.376177,ChargePoint Charging Station,OPERATIONAL,"22145 Farmington Rd, Farmington, MI 48336, USA","point_of_interest, establishment",8,5,"Great location, no technical issues, 125kW was plenty of speed to top me off.Felt safe while getting my 2.5 hr chargeFlawless. ChargePointe is becoming my go to app to find EV chargers in the wild.Green living c+⚡Don't go here 50 cents a minute added 30 miles for $11",4.2
queue and waiting time,Positive,2.5 hr charge],42.45534199999999,-83.376177,ChargePoint Charging Station,OPERATIONAL,"22145 Farmington Rd, Farmington, MI 48336, USA","point_of_interest, establishment",8,5,"Great location, no technical issues, 125kW was plenty of speed to top me off.Felt safe while getting my 2.5 hr chargeFlawless. ChargePointe is becoming my go to app to find EV chargers in the wild.Green living c+⚡Don't go here 50 cents a minute added 30 miles for $11",4.2
user-interface and mobile app,Positive,Flawless],42.45534199999999,-83.376177,ChargePoint Charging Station,OPERATIONAL,"22145 Farmington Rd, Farmington, MI 48336, USA","point_of_interest, establishment",8,5,"Great location, no technical issues, 125kW was plenty of speed to top me off.Felt safe while getting my 2.5 hr chargeFlawless. ChargePointe is becoming my go to app to find EV chargers in the wild.Green living c+⚡Don't go here 50 cents a minute added 30 miles for $11",4.2
price and cost,Negative,50 cents a minute added 30 miles for $11],42.45534199999999,-83.376177,ChargePoint Charging Station,OPERATIONAL,"22145 Farmington Rd, Farmington, MI 48336, USA","point_of_interest, establishment",8,5,"Great location, no technical issues, 125kW was plenty of speed to top me off.Felt safe while getting my 2.5 hr chargeFlawless. ChargePointe is becoming my go to app to find EV chargers in the wild.Green living c+⚡Don't go here 50 cents a minute added 30 miles for $11",4.2
reliability and maintenance,Negative,One charger working put of 4],42.4820552,-83.47230259999999,Electrify America Charging Station,OPERATIONAL,"26090 Ingersol Dr, Novi, MI 48375, USA","point_of_interest, establishment",43,5,"Saved me!  One charger working put of 4.  It took 50 minutes for my Volvo.4 are down but it's not reflected in the app. The two 350w chargers that aren't down won't recognize my car.Very easy to connect. I'm not sure if weather affects charging but charge started slowly ~65 kw, but settled to around 110 kw after a few minutes. Clean and easy to get in and out. Jumped off the expressway and right back on.This station rarely works and if you are patient enough it might work after trying 30 mins or so. It has a conglomerate of issues starting from not being able to recognize your credit card, your app not providing accurate details, having to unplug and plugin several times and if that is sorted out it charges slow. I would not recommend this station all. The support staff are not able to help either. I would avoid this station at all costs.  Extremely poor customer experience!The 350 kw charge station was not working",2.6
compatibility and connectivity,Negative,The two 350w chargers won't recognize my car],42.4820552,-83.47230259999999,Electrify America Charging Station,OPERATIONAL,"26090 Ingersol Dr, Novi, MI 48375, USA","point_of_interest, establishment",43,5,"Saved me!  One charger working put of 4.  It took 50 minutes for my Volvo.4 are down but it's not reflected in the app. The two 350w chargers that aren't down won't recognize my car.Very easy to connect. I'm not sure if weather affects charging but charge started slowly ~65 kw, but settled to around 110 kw after a few minutes. Clean and easy to get in and out. Jumped off the expressway and right back on.This station rarely works and if you are patient enough it might work after trying 30 mins or so. It has a conglomerate of issues starting from not being able to recognize your credit card, your app not providing accurate details, having to unplug and plugin several times and if that is sorted out it charges slow. I would not recommend this station all. The support staff are not able to help either. I would avoid this station at all costs.  Extremely poor customer experience!The 350 kw charge station was not working",2.6
